"x","y"
"131","62.75"
"113","62.4166666667"
"87","61.3333333333"
"73","63.0"
"62","61.25"
"57","60.25"
"43","61.4166666667"
"39","59.5833333333"
"34","60.5833333333"
"26","58.75"
"25","58.3333333333"
"20","58.5833333333"
"18","56.4166666667"
