"x","y"
"134","65.0625"
"117","64.5625"
"107","63.75"
"83","64.9375"
"74","63.375"
"65","63.125"
"58","62.9375"
"47","61.0625"
"42","61.25"
"39","60.75"
"34","58.8125"
"31","58.1875"
"27","57.0625"
