"svm, x; LogisticRegression, x; neural networks, x; GradientBoostingClassifier, x","svm, y","LogisticRegression, y","neural networks, y","GradientBoostingClassifier, y"
"91","1.85714285714","2.07142857143","20.2142857143","92.0"
"66","1.57142857143","2.07142857143","7.14285714286","91.0714285714"
"45","1.35714285714","2.07142857143","20.2142857143","91.2857142857"
"24","31.0714285714","78.7857142857","24.2142857143","89.2142857143"
"15","75.6428571429","62.6428571429","92.7857142857","89.7142857143"
"8","91.0714285714","38.8571428571","90.5714285714","86.4285714286"
"5","85.5","24.8571428571","66.2142857143","81.2142857143"
