"svm, x; LogisticRegression, x; neural networks, x; GradientBoostingClassifier, x","svm, y","LogisticRegression, y","neural networks, y","GradientBoostingClassifier, y"
"91","1.33333333333","1.90476190476","21.619047619","89.7142857143"
"80","36.8571428571","93.0476190476","87.7142857143","93.5238095238"
"65","35.619047619","92.5714285714","91.5238095238","92.7619047619"
"53","37.2380952381","90.0952380952","84.4761904762","93.619047619"
"40","46.0","91.8095238095","92.380952381","93.619047619"
"30","51.7142857143","90.4761904762","92.380952381","92.9523809524"
"20","53.2380952381","81.2380952381","90.9523809524","92.2857142857"
"15","58.0952380952","70.5714285714","90.4761904762","90.0952380952"
"12","59.4285714286","65.619047619","91.619047619","90.2857142857"
