"svm, x; LogisticRegression, x; neural networks, x; GradientBoostingClassifier, x","svm, y","LogisticRegression, y","neural networks, y","GradientBoostingClassifier, y"
"82","2.71428571429","2.48571428571","14.2","97.3428571429"
"69","4.42857142857","0.142857142857","15.6285714286","96.8571428571"
"53","72.7142857143","92.6","97.3714285714","97.7142857143"
"41","74.3142857143","93.4571428571","95.6857142857","97.2285714286"
"26","74.0285714286","88.0","95.9142857143","97.4"
"22","83.0","85.9142857143","95.4285714286","97.0"
"15","88.5428571429","69.6857142857","95.0","96.8285714286"
"10","93.6285714286","40.0","94.9428571429","95.8285714286"
"10","93.6285714286","40.0285714286","95.4","95.8"
